step,loss
1426,100129.3984375
1427,100129.9296875
1428,100130.875
1429,100131.6484375
1430,100132.3515625
1431,100133.078125
1432,100133.9453125
1433,100134.8984375
1434,100135.2890625
1435,100136.0390625
1436,100136.9765625
1437,100137.4921875
1438,100138.3046875
1439,100138.8515625
1440,100139.78125
1441,100140.328125
1442,100141.234375
1443,100141.8359375
1444,100142.75
1445,100143.3671875
1446,100143.9921875
1447,100144.8359375
1448,100145.6484375
1449,100146.2421875
1450,100146.7578125
1451,100147.6171875
1452,100148.3046875
1453,100149.1171875
1454,100149.4609375
1455,100150.390625
1456,100151.375
1457,100151.59375
1458,100152.53125
1459,100153.1328125
1460,100153.90625
1461,100154.578125
1462,100155.09375
1463,100155.984375
1464,100156.703125
1465,100157.375
1466,100157.9140625
1467,100158.515625
1468,100159.328125
1469,100160.0078125
1470,100160.609375
1471,100161.21875
1472,100161.7734375
1473,100162.4453125
1474,100162.9765625
1475,100163.828125
1476,100164.359375
1477,100164.96875
1478,100165.78125
1479,100166.3828125
1480,100167.0546875
1481,100167.71875
1482,100168.4140625
1483,100168.9609375
1484,100169.4609375
1485,100170.1015625
1486,100170.8671875
1487,100171.5
1488,100172.6640625
1489,100173.640625
1490,100174.7890625
1491,100175.8046875
1492,100176.78125
1493,100177.984375
1494,100178.8984375
1495,100179.8515625
1496,100180.7578125
1497,100182.0390625
1498,100182.8984375
1499,100183.8828125
1500,100184.8515625
1501,100185.9375
1502,100186.859375
1503,100187.890625
1504,100189.015625
1505,100189.75
1506,100190.78125
1507,100191.71875
1508,100192.7578125
1509,100193.9140625
1510,100194.96875
1511,100195.578125
1512,100196.7421875
1513,100197.6796875
1514,100198.6796875
1515,100199.59375
1516,100200.25
1517,100201.4921875
1518,100202.546875
1519,100203.6796875
1520,100204.3359375
1521,100205.34375
1522,100206.03125
1523,100207.3359375
1524,100208.046875
1525,100208.9375
1526,100210.0234375
1527,100210.859375
1528,100211.6796875
1529,100212.5
1530,100213.5234375
1531,100214.3125
1532,100215.390625
1533,100216.40625
1534,100217.1796875
1535,100218.1328125
1536,100219.0
1537,100219.96875
1538,100220.5859375
1539,100221.671875
1540,100222.6171875
1541,100223.3828125
1542,100224.359375
1543,100224.90625
1544,100226.1328125
1545,100226.765625
1546,100227.984375
1547,100228.6328125
1548,100229.34375
1549,100230.4609375
1550,100231.234375
1551,100231.78125
1552,100232.765625
1553,100233.6953125
1554,100234.265625
1555,100235.265625
1556,100236.2734375
1557,100236.7421875
1558,100237.8984375
1559,100238.7421875
1560,100239.2421875
1561,100240.3515625
1562,100240.7578125
1563,100241.7421875
1564,100242.34375
1565,100243.28125
1566,100244.0078125
1567,100244.8046875
1568,100245.8671875
1569,100246.53125
1570,100247.46875
1571,100248.3828125
1572,100249.0390625
1573,100249.8671875
1574,100250.7734375
1575,100251.609375
1576,100252.609375
1577,100253.0
1578,100253.734375
1579,100254.6953125
1580,100255.4296875
1581,100256.390625
1582,100257.1171875
1583,100257.8984375
1584,100258.6328125
1585,100259.5546875
